Site No.,Aquifer thickness,Plume length,Plume length,ED,EA (O2),"Ham (W= 3M, ath=0.1)","Ham (W= 5M, ath=0.1)","Chu (W= 3M, ath=0.1)","Chu (W= 5M, ath=0.1)","Liedl, atv=0.01","Liedl, atv=0.001","Maier, atv=0.01","Maier, atv=0.001"
,[m],[ft],[m],[mg/l],[mg/l],(m),(m),(m),(m),(m),(m),(m),(m)
15,7.62,720,219.456,8.18,8.6,3709.46765953003,10304.0768320278,9152.74458454905,25424.2905126362,3822.91105818608,38229.1105818608,4031.20883495479,40312.0883495479
16,3.048,315,96.012,13.8,9,1542.39291214489,4284.42475595803,3805.70196847856,10571.3943568849,753.777118806304,7537.77118806304,744.337324704275,7443.37324704275
17,6.096,175,53.34,13.118,9.3,5220.97019853406,14502.6949959279,12882.227612352,35783.9655898667,2911.77240954212,29117.7240954212,2903.71654290058,29037.1654290058
18,4.572,420,128.016,84.9,8.2,158231.177781095,439531.049391931,390419.782154462,1084499.39487351,3179.80283824302,31798.0283824302,2970.22598754179,29702.2598754179
19,7.62,3000,914.4,22.9,8.3,31211.6453986445,86699.0149962347,77011.6481979255,213921.244994237,5906.46816898396,59064.6816898396,5548.6337403697,55486.337403697
20,9.144,630,192.024,49.3,7.5,255114.819972411,708652.277701141,629470.587495707,1748529.4097103,11237.325262876,112373.25262876,10367.093855136,103670.93855136
21,3.048,200,60.96,90.21,6.8,115455.175859636,320708.821832323,284874.227948203,791317.299856119,1504.1021797833,15041.021797833,1422.00968774324,14220.0968774324
22,4.572,200,60.96,0.469,11.2,2.58829650021457,7.18971250059602,6.38636563246047,17.7399045346124,309.30125640896,3093.0125640896,568.653593872418,5686.53593872418
23,4.572,350,106.68,20.95,8.52,8924.69226659689,24790.811851658,22020.7955181932,61168.8764394256,2039.40184656935,20394.0184656935,1929.67722875792,19296.7722875792
24,6.7056,420,128.016,4.246,7.9,917.218964416845,2547.83045671346,2263.14708199278,6286.51967220217,2241.93244923032,22419.3244923032,2630.45002558624,26304.5002558624
25,6.096,680,207.264,67,3.7,860454.708617715,2390151.96838254,2123086.89477786,5897463.59660518,6475.54523288989,64755.4523288989,6244.54412873845,62445.4412873845
26,3.048,220,67.056,0.0719,8.4,0.048064128882912,0.1335114691192,0.118593484489329,0.329426345803691,100.940437066927,1009.40437066927,156.968932722932,1569.68932722932
27,8.5344,234,71.3232,25.4,4,207388.83891254,576080.108090389,511711.449317004,1421420.69254723,9691.7154093781,96917.154093781,8937.7253376327,89377.253376327
28,4.2672,1300,396.24,1.504,2.4,504.953198346995,1402.6477731861,1245.92207718741,3460.89465885392,981.046997612509,9810.46997612509,1115.43912534009,11154.3912534009
29,2.1336,1500,457.2,5.375,5.5,307.007867570174,852.799632139373,757.511550234913,2104.19875065254,303.471881712398,3034.71881712398,318.624845470685,3186.24845470685
30,2.1336,188,57.3024,3.57,8,64.0139174065453,177.816437240404,157.948010241652,438.744472893479,206.181971421157,2061.81971421157,251.853721669696,2518.53721669696
31,3.048,500,152.4,5.221,5.7,550.401415304115,1528.89282028921,1358.06105771283,3772.39182698007,601.080090126465,6010.80090126465,637.738264173456,6377.38264173456
32,9.144,1200,365.76,9.225,2.8,64088.6411256024,178024.003126673,158132.38362827,439256.62118964,9049.03068759706,90490.3068759706,8426.82231386332,84268.2231386332
